case_id,criterion,pull,argument
C-1,requirements,predictive,"Вимоги та формат пакета повністю визначені та опубліковані регулятором у наказі заздалегідь без змін за останні пів року"
C-1,technology,adaptive,"API державного реєстру є нестабільним із неповною документацією та змінами методів без оголошень у тестовому контурі"
C-1,release_cost,predictive,"Висока ціна помилки релізу через штрафні приписи регулятора операторам і необхідність ручного переподання звітності"
C-1,customer,predictive,"Замовник недоступний для оперативного зв'язку, відповідає до 5 днів, ігнорує щотижневі демо та вимагає формального приймання за актами"
C-1,contract,predictive,"Фіксований контракт за тендером із суворими дедлайнами, де будь-які зміни вимагають двотижневого погодження юристами додаткових угод"
C-1,team,predictive,"Розподілена команда із 7 осіб із вузькими ролями, де 3 підрядники працюють за власним графіком, а QA ділиться між проєктами"
C-2,requirements,adaptive,"Вимоги змінюються кожні два тижні за результатами інтерв'ю з користувачами, а річного плану функцій свідомо немає"
C-2,technology,adaptive,"Звичний стек, стабільна пісочниця платіжного провайдера, автоматизований CI/CD та відкат релізу за 10 хвилин"
C-2,release_cost,predictive,"Висока ціна помилки у розрахунках комісій та застав через загрозу санкцій від банку-еквайра та ручні повернення коштів"
C-2,customer,adaptive,"Замовник-співзасновник сидить в одній кімнаті з командою, приймає рішення на місці та відповідає в чаті протягом пів години"
C-2,contract,adaptive,"Внутрішній продукт без зовнішнього контракту з гнучким обсягом та фіксованим дев'ятимісячним бюджетом інвестора"
C-2,team,adaptive,"Крос-функціональна команда з 5 осіб в одному офісі без колодязів спеціалізацій, де кожен може взяти будь-яку задачу"
C-3,requirements,adaptive,"Вимоги містять приховані винятки в бізнес-процесах, а юридичний відділ має суперечливі бачення послідовності кроків"
C-3,technology,adaptive,"Висока технічна невизначеність міграції даних із legacy-системи без документації та з дефектами у заповненні полів"
C-3,release_cost,predictive,"Високий фінансовий ризик помилки в модулі щомісячного нарахування платежів, яка виявляється вже після перерахунку коштів"
C-3,customer,adaptive,"Керівниця юридичного відділу доступна щотижня для демо та фідбеку, хоча за бюджет відповідає фінансовий директор"
C-3,contract,predictive,"Фіксований річний бюджет без можливості збільшення та суворий fixed price контракт, де зміни вимагають протоколу та підпису CFO"
C-3,team,adaptive,"Зіграна крос-функціональна команда з 4 осіб в одному офісі, яка два роки працює разом і спокійно бере суміжні задачі"
